archivo,probabilidad
P0300_S0007,0.98514
P0300_S0008,0.950362
P0300_S0009,0.88802
P0300_S0010,0.565821
P0300_S0011,0.647356
P0300_S0012,0.627881
P0300_S0013,0.710987
P0300_S0014,0.538955
P0300_S0015,0.563922
P0300_S0016,0.298174
P0300_S0017,0.81944
P0300_S0018,0.915955
P0300_S0019,0.949616
P0300_S0020,0.990236
P0355_S0005,0.998661
P0355_S0006,0.952612
P0355_S0007,0.950203
P0355_S0008,0.991298
P0355_S0009,0.994583
P0355_S0010,0.991368
P0355_S0011,0.949159
P0355_S0012,0.922117
P0355_S0013,0.993877
P0355_S0014,0.981644
P0355_S0015,0.99721
P0355_S0016,0.989903
P0355_S0017,0.99222
P0355_S0018,0.995099
P0413_S0007,0.997619
P0413_S0008,0.987305
P0413_S0009,0.619116
P0413_S0010,0.584371
P0413_S0011,0.679796
P0413_S0012,0.665744
P0413_S0013,0.471336
P0413_S0014,0.809819
P0413_S0015,0.822541
P0413_S0016,0.752981
P0413_S0017,0.873513
P0413_S0018,0.382943
P0413_S0019,0.238431
P0413_S0020,0.48525
P0413_S0021,0.897198
P0413_S0022,0.966872
P0413_S0023,0.998103
P0515_S0007,0.991631
P0515_S0008,0.927594
P0515_S0009,0.753933
P0515_S0010,0.833797
P0515_S0011,0.860785
P0515_S0012,0.634446
P0515_S0013,0.855062
P0515_S0014,0.99527
P0515_S0015,0.972391
P0515_S0016,0.974081
P0515_S0017,0.968422
P0515_S0018,0.975581
P0515_S0019,0.976876
P0515_S0020,0.993708
P0515_S0021,0.997477
P0595_S0006,0.977604
P0595_S0007,0.978024
P0595_S0008,0.948337
P0595_S0009,0.902424
P0595_S0010,0.962434
P0595_S0011,0.92267
P0595_S0012,0.634264
P0595_S0013,0.415201
P0595_S0014,0.762577
P0595_S0015,0.569158
P0595_S0016,0.94006
P0595_S0017,0.924986
P0595_S0018,0.983635
P0595_S0019,0.995146
P0920_S0007,0.99109
P0920_S0008,0.897966
P0920_S0009,0.871849
P0920_S0010,0.768158
P0920_S0011,0.395414
P0920_S0012,0.536792
P0920_S0013,0.721094
P0920_S0014,0.75325
P0920_S0015,0.615801
P0920_S0016,0.689235
P0920_S0017,0.916308
P0920_S0018,0.98149
P0920_S0019,0.862562
P0920_S0020,0.996826
P0920_S0021,0.993984
P1033_S0005,0.989767
P1033_S0006,0.998147
P1033_S0007,0.997115
P1033_S0008,0.99299
P1033_S0009,0.993192
P1033_S0010,0.816111
P1033_S0011,0.934307
P1033_S0012,0.898028
P1033_S0013,0.579502
P1033_S0014,0.770369
P1033_S0015,0.795894
P1033_S0016,0.96883
P1033_S0017,0.946331
P1033_S0018,0.995245
P1033_S0019,0.998044
P1033_S0020,0.997752
P1049_S0008,0.993486
P1049_S0009,0.980213
P1049_S0010,0.901181
P1049_S0011,0.555831
P1049_S0012,0.802509
