archivo,probabilidad
P0300_S0007,0.061549
P0300_S0008,0.069158
P0300_S0009,0.846783
P0300_S0010,0.003541
P0300_S0011,0.041964
P0300_S0012,0.197721
P0300_S0013,0.837574
P0300_S0014,0.968374
P0300_S0015,0.370634
P0300_S0016,0.444346
P0300_S0017,0.020376
P0300_S0018,0.158463
P0300_S0019,0.053421
P0300_S0020,0.081231
P0355_S0005,0.364201
P0355_S0006,0.000282
P0355_S0007,0.278555
P0355_S0008,0.01932
P0355_S0009,0.120755
P0355_S0010,0.179513
P0355_S0011,0.395486
P0355_S0012,0.498679
P0355_S0013,0.998966
P0355_S0014,0.998331
P0355_S0015,0.998197
P0355_S0016,0.99852
P0355_S0017,0.999908
P0355_S0018,0.997703
P0413_S0007,0.412723
P0413_S0008,0.00621
P0413_S0009,0.110416
P0413_S0010,0.334825
P0413_S0011,0.000931
P0413_S0012,0.090983
P0413_S0013,0.979015
P0413_S0014,0.999371
P0413_S0015,0.996573
P0413_S0016,0.977047
P0413_S0017,0.841641
P0413_S0018,0.375634
P0413_S0019,0.595352
P0413_S0020,0.989556
P0413_S0021,0.912516
P0413_S0022,0.10838
P0413_S0023,0.173553
P0515_S0007,0.967726
P0515_S0008,0.917619
P0515_S0009,0.722246
P0515_S0010,0.999657
P0515_S0011,0.107397
P0515_S0012,0.69501
P0515_S0013,0.999999
P0515_S0014,1.0
P0515_S0015,1.0
P0515_S0016,1.0
P0515_S0017,1.0
P0515_S0018,1.0
P0515_S0019,0.999999
P0515_S0020,0.981682
P0515_S0021,0.924383
P0595_S0006,0.577132
P0595_S0007,0.67827
P0595_S0008,0.962443
P0595_S0009,0.00346
P0595_S0010,0.253339
P0595_S0011,0.528777
P0595_S0012,0.337958
P0595_S0013,0.95175
P0595_S0014,0.643899
P0595_S0015,0.428656
P0595_S0016,0.239394
P0595_S0017,0.436504
P0595_S0018,0.058477
P0595_S0019,0.136046
P0920_S0007,0.073444
P0920_S0008,0.491326
P0920_S0009,0.800225
P0920_S0010,0.990643
P0920_S0011,0.993542
P0920_S0012,0.970062
P0920_S0013,0.992797
P0920_S0014,0.989273
P0920_S0015,0.926583
P0920_S0016,0.984865
P0920_S0017,0.991515
P0920_S0018,0.998775
P0920_S0019,0.195945
P0920_S0020,0.812113
P0920_S0021,0.886599
P1033_S0005,0.018815
P1033_S0006,0.089152
P1033_S0007,0.025252
P1033_S0008,0.069156
P1033_S0009,0.135578
P1033_S0010,0.002855
P1033_S0011,0.03784
P1033_S0012,0.515814
P1033_S0013,0.997089
P1033_S0014,0.993822
P1033_S0015,0.996094
P1033_S0016,0.802249
P1033_S0017,0.791018
P1033_S0018,0.467108
P1033_S0019,0.04246
P1033_S0020,0.031377
P1049_S0008,0.281535
P1049_S0009,0.685613
P1049_S0010,0.784801
P1049_S0011,0.191193
P1049_S0012,0.537477
P1049_S0013,0.996663
P1049_S0014,0.728754
P1049_S0015,0.999918
P1049_S0016,0.995074
P1049_S0017,0.999963
P1049_S0018,0.994124
P1049_S0019,0.999991
P1049_S0020,0.999936
P1049_S0021,0.999991
P1049_S0022,1.0
P1049_S0023,0.996974
P1049_S0024,0.12083
P1053_S0007,0.001619
P1053_S0008,0.021174
P1053_S0009,0.046274
P1053_S0010,0.024077
P1053_S0011,0.035428
P1053_S0012,0.037951
P1053_S0013,0.658898
P1053_S0014,0.101524
P1053_S0015,0.372627
P1053_S0016,0.09239
P1053_S0017,0.082978
P1053_S0018,0.086266
P1053_S0019,0.014438
P1124_S0009,0.051211
P1124_S0010,0.022204
P1124_S0011,0.071428
P1124_S0012,0.11218
P1124_S0013,0.075636
P1124_S0014,0.49701
P1124_S0015,0.180755
P1124_S0016,0.706412
P1124_S0017,0.351614
P1124_S0018,0.346248
P1124_S0019,0.120634
P1124_S0020,0.0643
P1124_S0021,0.017809
P1124_S0022,0.055345
P1124_S0023,0.010724
P1124_S0024,0.03464
P1124_S0025,0.031438
P1400_S0005,0.023704
P1400_S0006,0.013743
P1400_S0007,0.053107
P1400_S0008,0.062428
P1400_S0009,0.552819
P1400_S0010,0.999459
P1400_S0011,0.999301
P1400_S0012,0.999734
P1400_S0013,0.999785
P1400_S0014,0.999503
P1400_S0015,0.999998
P1400_S0016,0.999958
P1400_S0017,0.996712
P1400_S0018,0.185087
P1400_S0019,0.085112
P1400_S0020,0.049957
P1400_S0021,0.066117
P1425_S0005,0.03871
P1425_S0006,0.045093
P1425_S0007,0.003722
P1425_S0008,0.048886
P1425_S0009,0.294945
P1425_S0010,0.309983
P1425_S0011,0.029607
P1425_S0012,0.742253
P1425_S0013,0.532248
P1425_S0014,0.986832
P1425_S0015,0.871728
P1425_S0016,0.055514
P1425_S0017,0.065071
P1425_S0018,0.461363
P1425_S0019,0.137566
P1425_S0020,0.159471
P1425_S0021,0.07619
P1483_S0004,0.009094
P1483_S0005,0.985218
P1483_S0006,0.977155
P1483_S0007,0.912366
P1483_S0008,0.513092
P1483_S0009,0.091028
P1483_S0010,0.999731
P1483_S0011,0.999953
P1483_S0012,0.99985
P1483_S0013,0.999502
P1483_S0014,0.999967
P1483_S0015,0.999984
P1483_S0016,0.999997
P1483_S0017,1.0
P1483_S0018,0.999998
P1483_S0019,1.0
P1483_S0020,0.999979
P1483_S0021,0.004597
P1560_S0005,0.051515
P1560_S0006,0.045532
P1560_S0007,0.002982
P1560_S0008,0.005124
P1560_S0009,0.025185
P1560_S0010,0.443072
P1560_S0011,0.319673
P1560_S0012,0.984658
P1560_S0013,0.979307
P1560_S0014,0.998732
P1560_S0015,0.320483
P1560_S0016,0.988582
P1560_S0017,0.969185
P1560_S0018,0.922235
P1560_S0019,0.199165
P1560_S0020,0.005615
P1560_S0021,0.209114
P1599_S0005,0.006844
P1599_S0006,0.068439
P1599_S0007,0.810686
P1599_S0008,0.952076
P1599_S0009,0.908518
P1599_S0010,0.313681
P1599_S0011,0.967772
P1599_S0012,0.418736
P1599_S0013,0.958333
P1599_S0014,0.766838
P1599_S0015,0.999613
P1599_S0016,0.999886
P1599_S0017,0.926106
P1599_S0018,0.921012
P1599_S0019,0.705565
P1599_S0020,0.044553
P1599_S0021,0.066704
P1599_S0022,0.141279
P1732_S0010,0.10914
P1732_S0011,9.8e-05
P1732_S0012,0.000559
P1732_S0013,0.000946
P1732_S0014,0.013783
P1732_S0015,0.004366
P1732_S0016,0.091104
P1732_S0017,0.166866
P1732_S0018,0.678123
P1732_S0019,0.925169
P1732_S0020,0.782465
P1732_S0021,0.472153
P1732_S0022,0.272368
P1732_S0023,0.129822
P1732_S0024,0.091341
P1732_S0025,0.156138
P1732_S0026,0.018515
P1732_S0027,0.082575
